municipality_name,age_gr,sex,pop
Vilniaus m. sav.,0–4,Moteris,16031
Vilniaus m. sav.,5–9,Vyras,17696
Vilniaus m. sav.,5–9,Moteris,16706
Vilniaus m. sav.,10–14,Vyras,16211
Vilniaus m. sav.,10–14,Moteris,15627
Vilniaus m. sav.,15–19,Vyras,11729
Vilniaus m. sav.,15–19,Moteris,11377
Vilniaus m. sav.,20–24,Vyras,11657
Vilniaus m. sav.,20–24,Moteris,11451
Vilniaus m. sav.,25–29,Vyras,15551
Vilniaus m. sav.,25–29,Moteris,16214
Vilniaus m. sav.,30–34,Vyras,23054
Vilniaus m. sav.,30–34,Moteris,24481
Vilniaus m. sav.,35–39,Vyras,25277
Vilniaus m. sav.,35–39,Moteris,26125
Vilniaus m. sav.,40–44,Vyras,21808
Vilniaus m. sav.,40–44,Moteris,22243
Vilniaus m. sav.,45–49,Vyras,18272
Vilniaus m. sav.,45–49,Moteris,19968
Vilniaus m. sav.,50–54,Vyras,16602
Vilniaus m. sav.,50–54,Moteris,18905
Vilniaus m. sav.,55–59,Vyras,15224
Vilniaus m. sav.,55–59,Moteris,19264
Vilniaus m. sav.,60–64,Vyras,15225
Vilniaus m. sav.,60–64,Moteris,21736
Vilniaus m. sav.,65–69,Vyras,11067
Vilniaus m. sav.,65–69,Moteris,17742
Vilniaus m. sav.,70–74,Vyras,8832
Vilniaus m. sav.,70–74,Moteris,16177
Vilniaus m. sav.,75–79,Vyras,5751
Vilniaus m. sav.,75–79,Moteris,11991
Vilniaus m. sav.,80–84,Vyras,4588
Vilniaus m. sav.,80–84,Moteris,9982
Vilniaus m. sav.,85 ir vyresni,Vyras,3096
Vilniaus m. sav.,85 ir vyresni,Moteris,8431
Vilniaus r. sav.,0–4,Vyras,2389
Vilniaus r. sav.,0–4,Moteris,2245
Vilniaus r. sav.,5–9,Vyras,2960
Vilniaus r. sav.,5–9,Moteris,2716
Vilniaus r. sav.,10–14,Vyras,3111
Vilniaus r. sav.,10–14,Moteris,3089
Vilniaus r. sav.,15–19,Vyras,2712
Vilniaus r. sav.,15–19,Moteris,2558
Vilniaus r. sav.,20–24,Vyras,2713
Vilniaus r. sav.,20–24,Moteris,2428
Vilniaus r. sav.,25–29,Vyras,2886
Vilniaus r. sav.,25–29,Moteris,2576
Vilniaus r. sav.,30–34,Vyras,3656
Vilniaus r. sav.,30–34,Moteris,3455
Vilniaus r. sav.,35–39,Vyras,3865
Vilniaus r. sav.,35–39,Moteris,3635
Vilniaus r. sav.,40–44,Vyras,3805
Vilniaus r. sav.,40–44,Moteris,3706
Vilniaus r. sav.,45–49,Vyras,3721
Vilniaus r. sav.,45–49,Moteris,3745
Vilniaus r. sav.,50–54,Vyras,3702
Vilniaus r. sav.,50–54,Moteris,3749
Vilniaus r. sav.,55–59,Vyras,3428
Vilniaus r. sav.,55–59,Moteris,3705
Vilniaus r. sav.,60–64,Vyras,3155
Vilniaus r. sav.,60–64,Moteris,3792
Vilniaus r. sav.,65–69,Vyras,2140
Vilniaus r. sav.,65–69,Moteris,2775
Vilniaus r. sav.,70–74,Vyras,1543
Vilniaus r. sav.,70–74,Moteris,2305
Vilniaus r. sav.,75–79,Vyras,899
Vilniaus r. sav.,75–79,Moteris,1597
Vilniaus r. sav.,80–84,Vyras,522
Vilniaus r. sav.,80–84,Moteris,1260
Vilniaus r. sav.,85 ir vyresni,Vyras,323
Vilniaus r. sav.,85 ir vyresni,Moteris,1135
Alytaus m. sav.,0–4,Vyras,968
Alytaus m. sav.,0–4,Moteris,922
Alytaus m. sav.,5–9,Vyras,1057
Alytaus m. sav.,5–9,Moteris,1023
Alytaus m. sav.,10–14,Vyras,1147
Alytaus m. sav.,10–14,Moteris,1076
Alytaus m. sav.,15–19,Vyras,1188
Alytaus m. sav.,15–19,Moteris,1086
Alytaus m. sav.,20–24,Vyras,1368
Alytaus m. sav.,20–24,Moteris,1291
Alytaus m. sav.,25–29,Vyras,1551
Alytaus m. sav.,25–29,Moteris,1443
Alytaus m. sav.,30–34,Vyras,1640
Alytaus m. sav.,30–34,Moteris,1492
Alytaus m. sav.,35–39,Vyras,1576
Alytaus m. sav.,35–39,Moteris,1429
Alytaus m. sav.,40–44,Vyras,1475
Alytaus m. sav.,40–44,Moteris,1568
Alytaus m. sav.,45–49,Vyras,1660
Alytaus m. sav.,45–49,Moteris,1961
Alytaus m. sav.,50–54,Vyras,1864
Alytaus m. sav.,50–54,Moteris,2145
Alytaus m. sav.,55–59,Vyras,1980
Alytaus m. sav.,55–59,Moteris,2435
Alytaus m. sav.,60–64,Vyras,1965
Alytaus m. sav.,60–64,Moteris,2517
Alytaus m. sav.,65–69,Vyras,1436
Alytaus m. sav.,65–69,Moteris,2168
Alytaus m. sav.,70–74,Vyras,1142
Alytaus m. sav.,70–74,Moteris,2112
Alytaus m. sav.,75–79,Vyras,810
Alytaus m. sav.,75–79,Moteris,1467
Alytaus m. sav.,80–84,Vyras,480
